Relative Day,Type ID,PN ID,Inspector ID,Cycle,Result,Inspector Bin
365,Type 05 MW,PN006,Inspector 05,5,0,Group 1
371,Type 05 MW,PN007,Inspector 05,5,0,Group 1
372,Type 05 MW,PN006,Inspector 08,1,0,Group 2
389,Type 05 MW,PN007,Inspector 10,3,1,Group 2
390,Type 05 MW,PN007,Inspector 07,5,0,Group 2
392,Type 05 MW,PN007,Inspector 03,2,0,Group 1
416,Type 05 MW,PN007,Inspector 01,3,0,Group 1
433,Type 05 MW,PN009,Inspector 06,4,0,Group 2
438,Type 05 MW,PN006,Inspector 08,5,0,Group 2
440,Type 05 MW,PN007,Inspector 03,7,0,Group 1
448,Type 05 MW,PN006,Inspector 06,6,0,Group 2
449,Type 05 MW,PN005,Inspector 08,3,0,Group 2
449,Type 05 MW,PN005,Inspector 09,6,0,Group 2
453,Type 05 MW,PN005,Inspector 10,6,1,Group 2
455,Type 05 MW,PN007,Inspector 08,2,0,Group 2
456,Type 05 MW,PN008,Inspector 04,1,0,Group 1
459,Type 05 MW,PN009,Inspector 06,6,0,Group 2
460,Type 05 MW,PN007,Inspector 04,1,0,Group 1
465,Type 05 MW,PN008,Inspector 05,6,1,Group 1
469,Type 05 MW,PN005,Inspector 01,7,1,Group 1
480,Type 05 MW,PN007,Inspector 02,6,0,Group 1
480,Type 05 MW,PN007,Inspector 05,3,0,Group 1
490,Type 05 MW,PN007,Inspector 05,1,1,Group 1
498,Type 05 MW,PN007,Inspector 06,2,0,Group 2
499,Type 05 MW,PN007,Inspector 08,4,0,Group 2
504,Type 05 MW,PN006,Inspector 10,5,0,Group 2
509,Type 05 MW,PN007,Inspector 02,2,1,Group 1
511,Type 05 MW,PN008,Inspector 08,7,0,Group 2
512,Type 05 MW,PN006,Inspector 10,1,1,Group 2
516,Type 05 MW,PN006,Inspector 07,7,1,Group 2
517,Type 05 MW,PN006,Inspector 01,7,0,Group 1
526,Type 05 MW,PN009,Inspector 03,7,0,Group 1
538,Type 05 MW,PN007,Inspector 09,6,0,Group 2
543,Type 05 MW,PN008,Inspector 09,2,0,Group 2
546,Type 05 MW,PN005,Inspector 04,2,0,Group 1
549,Type 05 MW,PN005,Inspector 10,3,0,Group 2
562,Type 05 MW,PN006,Inspector 04,4,1,Group 1
569,Type 05 MW,PN005,Inspector 07,7,0,Group 2
571,Type 05 MW,PN008,Inspector 02,4,0,Group 1
579,Type 05 MW,PN008,Inspector 01,6,0,Group 1
581,Type 05 MW,PN006,Inspector 02,5,0,Group 1
606,Type 05 MW,PN007,Inspector 04,2,0,Group 1
607,Type 05 MW,PN005,Inspector 04,2,0,Group 1
608,Type 05 MW,PN006,Inspector 08,7,0,Group 2
612,Type 05 MW,PN008,Inspector 10,6,0,Group 2
617,Type 05 MW,PN009,Inspector 09,4,0,Group 2
622,Type 05 MW,PN009,Inspector 01,3,0,Group 1
623,Type 05 MW,PN008,Inspector 01,4,0,Group 1
625,Type 05 MW,PN005,Inspector 07,5,0,Group 2
627,Type 05 MW,PN006,Inspector 05,3,0,Group 1
627,Type 05 MW,PN005,Inspector 04,6,0,Group 1
631,Type 05 MW,PN005,Inspector 01,3,0,Group 1
632,Type 05 MW,PN005,Inspector 01,7,0,Group 1
646,Type 05 MW,PN008,Inspector 04,1,0,Group 1
662,Type 05 MW,PN009,Inspector 05,1,0,Group 1
668,Type 05 MW,PN006,Inspector 07,4,0,Group 2
669,Type 05 MW,PN008,Inspector 05,6,0,Group 1
672,Type 05 MW,PN006,Inspector 07,3,0,Group 2
672,Type 05 MW,PN005,Inspector 04,7,0,Group 1
675,Type 05 MW,PN007,Inspector 03,4,0,Group 1
677,Type 05 MW,PN005,Inspector 09,3,0,Group 2
678,Type 05 MW,PN005,Inspector 09,1,1,Group 2
679,Type 05 MW,PN007,Inspector 10,7,1,Group 2
682,Type 05 MW,PN007,Inspector 07,3,0,Group 2
686,Type 05 MW,PN005,Inspector 10,1,0,Group 2
693,Type 05 MW,PN005,Inspector 05,5,0,Group 1
696,Type 05 MW,PN007,Inspector 07,7,0,Group 2
697,Type 05 MW,PN007,Inspector 05,3,0,Group 1
716,Type 05 MW,PN008,Inspector 08,3,0,Group 2
719,Type 05 MW,PN005,Inspector 05,6,0,Group 1
727,Type 05 MW,PN006,Inspector 06,2,0,Group 2
734,Type 05 MW,PN005,Inspector 05,3,0,Group 1
745,Type 05 MW,PN005,Inspector 04,4,1,Group 1
747,Type 05 MW,PN007,Inspector 10,6,1,Group 2
759,Type 05 MW,PN005,Inspector 08,6,0,Group 2
776,Type 05 MW,PN008,Inspector 03,1,0,Group 1
778,Type 05 MW,PN006,Inspector 09,3,0,Group 2
778,Type 05 MW,PN008,Inspector 02,1,0,Group 1
783,Type 05 MW,PN008,Inspector 02,7,1,Group 1
788,Type 05 MW,PN005,Inspector 02,4,0,Group 1
790,Type 05 MW,PN005,Inspector 07,6,0,Group 2
796,Type 05 MW,PN007,Inspector 01,3,0,Group 1
797,Type 05 MW,PN006,Inspector 07,7,0,Group 2
810,Type 05 MW,PN008,Inspector 08,6,0,Group 2
810,Type 05 MW,PN008,Inspector 05,2,0,Group 1
812,Type 05 MW,PN008,Inspector 07,6,0,Group 2
816,Type 05 MW,PN006,Inspector 08,4,0,Group 2
817,Type 05 MW,PN007,Inspector 10,3,1,Group 2
820,Type 05 MW,PN008,Inspector 02,4,1,Group 1
821,Type 05 MW,PN006,Inspector 06,3,1,Group 2
826,Type 05 MW,PN005,Inspector 04,1,0,Group 1
841,Type 05 MW,PN007,Inspector 02,3,0,Group 1
848,Type 05 MW,PN005,Inspector 08,6,0,Group 2
849,Type 05 MW,PN005,Inspector 02,4,0,Group 1
850,Type 05 MW,PN009,Inspector 05,7,0,Group 1
851,Type 05 MW,PN008,Inspector 08,1,0,Group 2
858,Type 05 MW,PN006,Inspector 09,5,0,Group 2
859,Type 05 MW,PN005,Inspector 09,2,0,Group 2
866,Type 05 MW,PN008,Inspector 05,6,0,Group 1
870,Type 05 MW,PN006,Inspector 04,1,0,Group 1
873,Type 05 MW,PN007,Inspector 09,7,0,Group 2
874,Type 05 MW,PN008,Inspector 06,3,0,Group 2
881,Type 05 MW,PN005,Inspector 10,1,0,Group 2
884,Type 05 MW,PN005,Inspector 02,1,0,Group 1
897,Type 05 MW,PN008,Inspector 05,6,0,Group 1
897,Type 05 MW,PN008,Inspector 06,5,0,Group 2
897,Type 05 MW,PN008,Inspector 03,7,0,Group 1
899,Type 05 MW,PN009,Inspector 05,1,0,Group 1
905,Type 05 MW,PN005,Inspector 08,6,0,Group 2
908,Type 05 MW,PN007,Inspector 02,2,0,Group 1
910,Type 05 MW,PN006,Inspector 08,2,0,Group 2
914,Type 05 MW,PN008,Inspector 03,5,0,Group 1
921,Type 05 MW,PN005,Inspector 08,3,0,Group 2
925,Type 05 MW,PN006,Inspector 02,5,0,Group 1
934,Type 05 MW,PN006,Inspector 02,2,0,Group 1
935,Type 05 MW,PN005,Inspector 05,7,0,Group 1
936,Type 05 MW,PN006,Inspector 05,3,0,Group 1
941,Type 05 MW,PN009,Inspector 05,3,0,Group 1
945,Type 05 MW,PN008,Inspector 02,1,0,Group 1
951,Type 05 MW,PN005,Inspector 09,1,0,Group 2
956,Type 05 MW,PN006,Inspector 07,7,0,Group 2
959,Type 05 MW,PN007,Inspector 02,1,1,Group 1
962,Type 05 MW,PN005,Inspector 10,3,1,Group 2
963,Type 05 MW,PN005,Inspector 03,5,0,Group 1
980,Type 05 MW,PN009,Inspector 08,4,0,Group 2
998,Type 05 MW,PN005,Inspector 03,2,0,Group 1
1000,Type 05 MW,PN007,Inspector 09,3,0,Group 2
1012,Type 05 MW,PN005,Inspector 07,4,0,Group 2
1014,Type 05 MW,PN006,Inspector 03,1,1,Group 1
1020,Type 05 MW,PN008,Inspector 03,6,0,Group 1
1043,Type 05 MW,PN005,Inspector 03,4,1,Group 1
1052,Type 05 MW,PN005,Inspector 02,2,0,Group 1
1070,Type 05 MW,PN008,Inspector 10,3,0,Group 2
1083,Type 05 MW,PN009,Inspector 08,3,0,Group 2
1086,Type 05 MW,PN005,Inspector 10,3,0,Group 2
1087,Type 05 MW,PN007,Inspector 04,4,0,Group 1
1087,Type 05 MW,PN005,Inspector 06,5,0,Group 2
1098,Type 05 MW,PN009,Inspector 08,1,0,Group 2
1098,Type 05 MW,PN006,Inspector 05,1,0,Group 1
1105,Type 05 MW,PN008,Inspector 09,4,0,Group 2
1117,Type 05 MW,PN008,Inspector 03,1,0,Group 1
1123,Type 05 MW,PN005,Inspector 10,6,0,Group 2
1129,Type 05 MW,PN005,Inspector 08,6,0,Group 2
1130,Type 05 MW,PN006,Inspector 06,7,0,Group 2
1131,Type 05 MW,PN005,Inspector 10,2,0,Group 2
1131,Type 05 MW,PN008,Inspector 01,4,1,Group 1
1133,Type 05 MW,PN008,Inspector 08,5,0,Group 2
1134,Type 05 MW,PN009,Inspector 10,2,0,Group 2
1137,Type 05 MW,PN007,Inspector 08,7,1,Group 2
1138,Type 05 MW,PN005,Inspector 05,1,0,Group 1
1165,Type 05 MW,PN006,Inspector 10,3,0,Group 2
1167,Type 05 MW,PN007,Inspector 08,5,0,Group 2
1171,Type 05 MW,PN005,Inspector 07,3,0,Group 2
1171,Type 05 MW,PN005,Inspector 04,4,0,Group 1
1180,Type 05 MW,PN006,Inspector 05,1,0,Group 1
1180,Type 05 MW,PN006,Inspector 10,4,0,Group 2
1187,Type 05 MW,PN008,Inspector 10,6,0,Group 2
1197,Type 05 MW,PN008,Inspector 05,4,0,Group 1
1200,Type 05 MW,PN007,Inspector 04,2,0,Group 1
1202,Type 05 MW,PN008,Inspector 10,1,0,Group 2
1205,Type 05 MW,PN009,Inspector 04,3,0,Group 1
1212,Type 05 MW,PN005,Inspector 07,5,0,Group 2
1222,Type 05 MW,PN007,Inspector 09,3,0,Group 2
1226,Type 05 MW,PN009,Inspector 01,3,0,Group 1
1229,Type 05 MW,PN008,Inspector 05,3,0,Group 1
1236,Type 05 MW,PN005,Inspector 06,3,0,Group 2
1238,Type 05 MW,PN005,Inspector 05,2,0,Group 1
1241,Type 05 MW,PN007,Inspector 07,5,0,Group 2
1242,Type 05 MW,PN009,Inspector 10,6,0,Group 2
1247,Type 05 MW,PN005,Inspector 02,6,0,Group 1
1251,Type 05 MW,PN007,Inspector 08,7,0,Group 2
1252,Type 05 MW,PN006,Inspector 05,7,0,Group 1
1254,Type 05 MW,PN005,Inspector 08,7,0,Group 2
1260,Type 05 MW,PN005,Inspector 08,4,0,Group 2
1268,Type 05 MW,PN005,Inspector 01,5,0,Group 1
1269,Type 05 MW,PN007,Inspector 07,6,1,Group 2
1276,Type 05 MW,PN006,Inspector 06,3,0,Group 2
1281,Type 05 MW,PN005,Inspector 04,2,0,Group 1
1286,Type 05 MW,PN005,Inspector 03,1,0,Group 1
1301,Type 05 MW,PN007,Inspector 08,7,0,Group 2
1304,Type 05 MW,PN009,Inspector 03,3,0,Group 1
1306,Type 05 MW,PN005,Inspector 03,7,0,Group 1
1316,Type 05 MW,PN007,Inspector 02,4,1,Group 1
1322,Type 05 MW,PN007,Inspector 08,6,0,Group 2
1346,Type 05 MW,PN007,Inspector 01,7,0,Group 1
1349,Type 05 MW,PN008,Inspector 02,4,0,Group 1
1354,Type 05 MW,PN008,Inspector 07,3,1,Group 2
1355,Type 05 MW,PN008,Inspector 09,6,0,Group 2
1356,Type 05 MW,PN005,Inspector 05,4,0,Group 1
1357,Type 05 MW,PN006,Inspector 02,2,0,Group 1
1365,Type 05 MW,PN005,Inspector 04,1,0,Group 1
1367,Type 05 MW,PN007,Inspector 01,7,0,Group 1
1371,Type 05 MW,PN007,Inspector 04,6,0,Group 1
1377,Type 05 MW,PN005,Inspector 04,3,0,Group 1
1387,Type 05 MW,PN008,Inspector 07,6,0,Group 2
1388,Type 05 MW,PN005,Inspector 05,7,0,Group 1
1393,Type 05 MW,PN009,Inspector 01,6,0,Group 1
1405,Type 05 MW,PN009,Inspector 07,1,0,Group 2
1406,Type 05 MW,PN005,Inspector 09,6,0,Group 2
1407,Type 05 MW,PN005,Inspector 04,6,0,Group 1
1414,Type 05 MW,PN009,Inspector 10,7,0,Group 2
1421,Type 05 MW,PN007,Inspector 07,2,0,Group 2
1427,Type 05 MW,PN007,Inspector 02,7,0,Group 1
1429,Type 05 MW,PN008,Inspector 03,4,0,Group 1
1433,Type 05 MW,PN009,Inspector 05,4,0,Group 1
1442,Type 05 MW,PN005,Inspector 04,1,1,Group 1
1447,Type 05 MW,PN009,Inspector 05,3,0,Group 1
1448,Type 05 MW,PN008,Inspector 08,2,0,Group 2
1453,Type 05 MW,PN005,Inspector 04,2,0,Group 1
1460,Type 05 MW,PN009,Inspector 04,3,0,Group 1
1474,Type 05 MW,PN009,Inspector 02,3,0,Group 1
1476,Type 05 MW,PN007,Inspector 09,7,1,Group 2
1479,Type 05 MW,PN007,Inspector 01,2,0,Group 1
1483,Type 05 MW,PN005,Inspector 07,2,0,Group 2
1483,Type 05 MW,PN008,Inspector 05,5,0,Group 1
1492,Type 05 MW,PN008,Inspector 06,7,0,Group 2
1506,Type 05 MW,PN006,Inspector 10,5,1,Group 2
1520,Type 05 MW,PN005,Inspector 02,5,0,Group 1
1528,Type 05 MW,PN008,Inspector 05,7,0,Group 1
1533,Type 05 MW,PN006,Inspector 10,7,0,Group 2
1534,Type 05 MW,PN008,Inspector 10,2,0,Group 2
1534,Type 05 MW,PN005,Inspector 01,5,1,Group 1
1537,Type 05 MW,PN008,Inspector 09,3,0,Group 2
1544,Type 05 MW,PN008,Inspector 01,1,0,Group 1
1549,Type 05 MW,PN008,Inspector 10,4,0,Group 2
1557,Type 05 MW,PN005,Inspector 02,6,0,Group 1
1568,Type 05 MW,PN007,Inspector 09,2,1,Group 2
1568,Type 05 MW,PN008,Inspector 05,7,0,Group 1
1570,Type 05 MW,PN007,Inspector 05,3,1,Group 1
1583,Type 05 MW,PN005,Inspector 04,3,0,Group 1
1586,Type 05 MW,PN005,Inspector 09,4,0,Group 2
1588,Type 05 MW,PN007,Inspector 04,5,0,Group 1
1588,Type 05 MW,PN007,Inspector 05,7,1,Group 1
1593,Type 05 MW,PN007,Inspector 08,3,0,Group 2
1594,Type 05 MW,PN005,Inspector 02,4,0,Group 1
1602,Type 05 MW,PN006,Inspector 10,1,0,Group 2
1602,Type 05 MW,PN008,Inspector 06,4,0,Group 2
1613,Type 05 MW,PN009,Inspector 05,7,0,Group 1
1622,Type 05 MW,PN005,Inspector 03,6,0,Group 1
1625,Type 05 MW,PN006,Inspector 08,7,0,Group 2
1638,Type 05 MW,PN007,Inspector 09,5,0,Group 2
1649,Type 05 MW,PN006,Inspector 10,1,0,Group 2
1653,Type 05 MW,PN005,Inspector 08,4,0,Group 2
1654,Type 05 MW,PN005,Inspector 08,7,0,Group 2
1657,Type 05 MW,PN005,Inspector 05,7,1,Group 1
1662,Type 05 MW,PN005,Inspector 06,2,0,Group 2
1671,Type 05 MW,PN007,Inspector 08,1,0,Group 2
1718,Type 05 MW,PN005,Inspector 04,1,0,Group 1
1723,Type 05 MW,PN005,Inspector 05,6,0,Group 1
1744,Type 05 MW,PN008,Inspector 02,3,0,Group 1
1746,Type 05 MW,PN005,Inspector 02,6,0,Group 1
1747,Type 05 MW,PN007,Inspector 07,7,0,Group 2
1747,Type 05 MW,PN006,Inspector 07,4,1,Group 2
1754,Type 05 MW,PN005,Inspector 01,7,0,Group 1
1761,Type 05 MW,PN007,Inspector 04,6,0,Group 1
1763,Type 05 MW,PN007,Inspector 01,1,1,Group 1
1769,Type 05 MW,PN008,Inspector 03,1,0,Group 1
1770,Type 05 MW,PN005,Inspector 04,4,0,Group 1
1770,Type 05 MW,PN007,Inspector 04,2,0,Group 1
1771,Type 05 MW,PN005,Inspector 07,5,0,Group 2
1774,Type 05 MW,PN006,Inspector 04,1,0,Group 1
1777,Type 05 MW,PN008,Inspector 07,6,1,Group 2
1786,Type 05 MW,PN005,Inspector 08,5,1,Group 2
1786,Type 05 MW,PN009,Inspector 09,5,0,Group 2
1787,Type 05 MW,PN005,Inspector 02,1,0,Group 1
1794,Type 05 MW,PN006,Inspector 10,6,0,Group 2
1800,Type 05 MW,PN007,Inspector 02,2,0,Group 1
1805,Type 05 MW,PN008,Inspector 03,4,1,Group 1
1810,Type 05 MW,PN009,Inspector 09,7,0,Group 2
1813,Type 05 MW,PN006,Inspector 03,4,0,Group 1
1813,Type 05 MW,PN005,Inspector 10,7,0,Group 2
1817,Type 05 MW,PN006,Inspector 04,5,0,Group 1
1818,Type 05 MW,PN005,Inspector 08,2,0,Group 2
1828,Type 05 MW,PN009,Inspector 01,7,0,Group 1
1837,Type 05 MW,PN008,Inspector 08,2,0,Group 2
1840,Type 05 MW,PN005,Inspector 01,3,0,Group 1
1845,Type 05 MW,PN007,Inspector 08,3,0,Group 2
1860,Type 05 MW,PN005,Inspector 03,3,0,Group 1
1862,Type 05 MW,PN005,Inspector 08,6,0,Group 2
1864,Type 05 MW,PN008,Inspector 01,5,0,Group 1
1869,Type 05 MW,PN006,Inspector 09,1,0,Group 2
1882,Type 05 MW,PN008,Inspector 09,7,0,Group 2
1897,Type 05 MW,PN008,Inspector 05,7,0,Group 1
1902,Type 05 MW,PN005,Inspector 01,3,0,Group 1
1902,Type 05 MW,PN005,Inspector 02,3,0,Group 1
1902,Type 05 MW,PN008,Inspector 04,5,0,Group 1
1910,Type 05 MW,PN006,Inspector 08,3,0,Group 2
1922,Type 05 MW,PN006,Inspector 02,2,0,Group 1
1939,Type 05 MW,PN005,Inspector 08,5,0,Group 2
1939,Type 05 MW,PN006,Inspector 10,1,1,Group 2
1941,Type 05 MW,PN008,Inspector 10,2,0,Group 2
1943,Type 05 MW,PN005,Inspector 02,7,0,Group 1
1952,Type 05 MW,PN005,Inspector 06,2,0,Group 2
1952,Type 05 MW,PN005,Inspector 09,7,0,Group 2
1959,Type 05 MW,PN007,Inspector 10,5,0,Group 2
1966,Type 05 MW,PN008,Inspector 10,6,1,Group 2
1967,Type 05 MW,PN007,Inspector 01,5,1,Group 1
1973,Type 05 MW,PN007,Inspector 10,6,0,Group 2
1975,Type 05 MW,PN005,Inspector 03,3,1,Group 1
1977,Type 05 MW,PN007,Inspector 09,6,0,Group 2
1980,Type 05 MW,PN006,Inspector 07,7,0,Group 2
1984,Type 05 MW,PN008,Inspector 01,1,0,Group 1
1984,Type 05 MW,PN009,Inspector 08,1,0,Group 2
1988,Type 05 MW,PN007,Inspector 10,1,1,Group 2
1990,Type 05 MW,PN007,Inspector 05,5,0,Group 1
1993,Type 05 MW,PN006,Inspector 01,6,0,Group 1
2008,Type 05 MW,PN007,Inspector 03,5,0,Group 1
2008,Type 05 MW,PN007,Inspector 02,6,0,Group 1
2015,Type 05 MW,PN005,Inspector 10,5,1,Group 2
2022,Type 05 MW,PN007,Inspector 03,2,0,Group 1
2023,Type 05 MW,PN009,Inspector 09,5,0,Group 2
